GeneID1	GeneID2	PCC_mild	feature_type	PCC_mild_abs
C5	SERPINF2	0.235126097748548	protein-protein	0.235126097748548
CD14	C3	0.165345328657672	protein-protein	0.165345328657672
B2M	HLA-B	0.298851927264241	protein-protein	0.298851927264241
AGT	PROS1	-0.401518926424855	protein-protein	0.401518926424855
AGT	PLG	-0.130519535639519	protein-protein	0.130519535639519
AGT	SERPINF2	0.135779083262117	protein-protein	0.135779083262117
AGT	C5	0.143652028600304	protein-protein	0.143652028600304
C4BPB	SERPINF2	0.204230617184274	protein-protein	0.204230617184274
C4BPB	C5	0.479550857623018	protein-protein	0.479550857623018
LYZ	LTF	0.131225249648139	protein-protein	0.131225249648139
HLA-A	HLA-B	-0.177392386018881	protein-protein	0.177392386018881
HLA-A	HLA-C	0.394932209847818	protein-protein	0.394932209847818
B2M	HLA-B	0.298851927264241	protein-protein	0.298851927264241
F10	KNG1	0.298689556415713	protein-protein	0.298689556415713
F10	SERPINF2	0.392638390326297	protein-protein	0.392638390326297
CD14	FCGR3A	-0.148368423293538	protein-protein	0.148368423293538
LYZ	LTF	0.131225249648139	protein-protein	0.131225249648139
LYZ	PROS1	0.37967653582895	protein-protein	0.37967653582895
SERPINA5	SERPINF2	-0.15211541872411	protein-protein	0.15211541872411
CD14	FCGR3A	-0.148368423293538	protein-protein	0.148368423293538
B2M	FCGR3A	0.224113482833048	protein-protein	0.224113482833048
LYZ	CD14	0.311553003993807	protein-protein	0.311553003993807
LYZ	B2M	0.802323572223574	protein-protein	0.802323572223574
C3	PROS1	-0.23884935725344	protein-protein	0.23884935725344
PLG	PROS1	-0.300445481402295	protein-protein	0.300445481402295
HLA-C	HLA-B	0.118672764243706	protein-protein	0.118672764243706
HLA-C	FCGR3A	0.127383319599447	protein-protein	0.127383319599447
KNG1	PLG	0.329748939042059	protein-protein	0.329748939042059
F10	PLG	0.147315279258754	protein-protein	0.147315279258754
F10	KNG1	0.298689556415713	protein-protein	0.298689556415713
HLA-A	HLA-B	-0.177392386018881	protein-protein	0.177392386018881
HLA-A	HLA-C	0.394932209847818	protein-protein	0.394932209847818
C5	PROS1	0.313639003159622	protein-protein	0.313639003159622
C5	C3	-0.353056459570341	protein-protein	0.353056459570341
C5	PLG	-0.244885713945199	protein-protein	0.244885713945199
C5	KNG1	-0.149943017759297	protein-protein	0.149943017759297
CD14	SERPINF2	0.23641132688321	protein-protein	0.23641132688321
B2M	HLA-B	0.298851927264241	protein-protein	0.298851927264241
B2M	FCGR3A	0.224113482833048	protein-protein	0.224113482833048
FCGR3A	HLA-B	-0.183528481780824	protein-protein	0.183528481780824
HLA-C	HLA-B	0.118672764243706	protein-protein	0.118672764243706
HLA-A	HLA-B	-0.177392386018881	protein-protein	0.177392386018881
HLA-A	HLA-C	0.394932209847818	protein-protein	0.394932209847818
B2M	HSPA5	0.185726940923273	protein-protein	0.185726940923273
LYZ	VWF	0.132343201726835	protein-protein	0.132343201726835
SERPINF2	PROS1	0.146148481092476	protein-protein	0.146148481092476
AGT	PROS1	-0.401518926424855	protein-protein	0.401518926424855
C3	HLA-B	0.166246085497744	protein-protein	0.166246085497744
HLA-C	HLA-B	0.118672764243706	protein-protein	0.118672764243706
KNG1	TTR	0.374762816687457	protein-protein	0.374762816687457
SERPINF2	KNG1	0.363334986963258	protein-protein	0.363334986963258
F10	SERPINF2	0.392638390326297	protein-protein	0.392638390326297
HLA-A	HLA-B	-0.177392386018881	protein-protein	0.177392386018881
HLA-A	HLA-C	0.394932209847818	protein-protein	0.394932209847818
SERPINA5	TTR	0.661171378540102	protein-protein	0.661171378540102
SERPINA5	SERPINF2	-0.15211541872411	protein-protein	0.15211541872411
AGT	F10	0.211149070129184	protein-protein	0.211149070129184
AGT	SERPINA5	-0.271196790638496	protein-protein	0.271196790638496
LYZ	HLA-B	0.222481767148494	protein-protein	0.222481767148494
LYZ	C4BPB	0.335761204249876	protein-protein	0.335761204249876
HLA-C	MB	-0.151575595985859	protein-protein	0.151575595985859
HLA-A	HLA-C	0.394932209847818	protein-protein	0.394932209847818
CD14	FCGR3A	-0.148368423293538	protein-protein	0.148368423293538
LYZ	LTF	0.131225249648139	protein-protein	0.131225249648139
LYZ	CD14	0.311553003993807	protein-protein	0.311553003993807
C3	LTF	-0.271706293159637	protein-protein	0.271706293159637
HLA-C	HLA-B	0.118672764243706	protein-protein	0.118672764243706
HLA-A	HLA-B	-0.177392386018881	protein-protein	0.177392386018881
HLA-A	HLA-C	0.394932209847818	protein-protein	0.394932209847818
B2M	HLA-B	0.298851927264241	protein-protein	0.298851927264241
C4BPB	HSPA5	0.208482432849775	protein-protein	0.208482432849775
VWF	F10	-0.152076422890762	protein-protein	0.152076422890762
HLA-A	HLA-C	0.394932209847818	protein-protein	0.394932209847818
LYZ	LTF	0.131225249648139	protein-protein	0.131225249648139
HLA-C	HLA-B	0.118672764243706	protein-protein	0.118672764243706
KNG1	PLG	0.329748939042059	protein-protein	0.329748939042059
SERPINF2	PLG	0.39255151562421	protein-protein	0.39255151562421
SERPINF2	KNG1	0.363334986963258	protein-protein	0.363334986963258
HLA-A	HLA-B	-0.177392386018881	protein-protein	0.177392386018881
HLA-A	HLA-C	0.394932209847818	protein-protein	0.394932209847818
C5	C3	-0.353056459570341	protein-protein	0.353056459570341
C5	PLG	-0.244885713945199	protein-protein	0.244885713945199
C5	TTR	-0.156731091136872	protein-protein	0.156731091136872
CD14	C3	0.165345328657672	protein-protein	0.165345328657672
CD14	F10	-0.105480588177218	protein-protein	0.105480588177218
B2M	HLA-B	0.298851927264241	protein-protein	0.298851927264241
C4BPB	C5	0.479550857623018	protein-protein	0.479550857623018
LYZ	LTF	0.131225249648139	protein-protein	0.131225249648139
SERPINF2	KNG1	0.363334986963258	protein-protein	0.363334986963258
F10	C3	0.228223990173868	protein-protein	0.228223990173868
F10	SERPINF2	0.392638390326297	protein-protein	0.392638390326297
SERPINA5	KNG1	0.364555466623098	protein-protein	0.364555466623098
SERPINA5	SERPINF2	-0.15211541872411	protein-protein	0.15211541872411
C5	C3	-0.353056459570341	protein-protein	0.353056459570341
C5	SERPINF2	0.235126097748548	protein-protein	0.235126097748548
CD14	FCGR3A	-0.148368423293538	protein-protein	0.148368423293538
CD14	C3	0.165345328657672	protein-protein	0.165345328657672
CD14	SERPINF2	0.23641132688321	protein-protein	0.23641132688321
CD14	F10	-0.105480588177218	protein-protein	0.105480588177218
CD14	SERPINA5	-0.411724678058613	protein-protein	0.411724678058613
AGT	TTR	-0.256851299466966	protein-protein	0.256851299466966
AGT	SERPINF2	0.135779083262117	protein-protein	0.135779083262117
C4BPB	KNG1	-0.112768468754847	protein-protein	0.112768468754847
C4BPB	SERPINF2	0.204230617184274	protein-protein	0.204230617184274
C4BPB	F10	0.132099574719819	protein-protein	0.132099574719819
KNG1	PLG	0.329748939042059	protein-protein	0.329748939042059
KNG1	TTR	0.374762816687457	protein-protein	0.374762816687457
SERPINF2	PLG	0.39255151562421	protein-protein	0.39255151562421
F10	C3	0.228223990173868	protein-protein	0.228223990173868
F10	PLG	0.147315279258754	protein-protein	0.147315279258754
C5	C3	-0.353056459570341	protein-protein	0.353056459570341
AGT	C5	0.143652028600304	protein-protein	0.143652028600304
C4BPB	KNG1	-0.112768468754847	protein-protein	0.112768468754847
LYZ	LTF	0.131225249648139	protein-protein	0.131225249648139
HLA-A	LTF	-0.208285710893683	protein-protein	0.208285710893683
C5	PLG	-0.244885713945199	protein-protein	0.244885713945199
C4BPB	TTR	-0.17275580946081	protein-protein	0.17275580946081
SERPINF2	PLG	0.39255151562421	protein-protein	0.39255151562421
C5	C3	-0.353056459570341	protein-protein	0.353056459570341
B2M	HLA-B	0.298851927264241	protein-protein	0.298851927264241
SERPINF2	PLG	0.39255151562421	protein-protein	0.39255151562421
B2M	HLA-B	0.298851927264241	protein-protein	0.298851927264241
HLA-C	HLA-B	0.118672764243706	protein-protein	0.118672764243706
HLA-A	HLA-B	-0.177392386018881	protein-protein	0.177392386018881
HLA-A	HLA-C	0.394932209847818	protein-protein	0.394932209847818
B2M	HLA-B	0.298851927264241	protein-protein	0.298851927264241
C4BPB	PROS1	0.690548978065311	protein-protein	0.690548978065311
SERPINF2	PLG	0.39255151562421	protein-protein	0.39255151562421
VWF	F10	-0.152076422890762	protein-protein	0.152076422890762
C5	C3	-0.353056459570341	protein-protein	0.353056459570341
C5	KNG1	-0.149943017759297	protein-protein	0.149943017759297
B2M	HLA-B	0.298851927264241	protein-protein	0.298851927264241
AGT	C5	0.143652028600304	protein-protein	0.143652028600304
C4BPB	PROS1	0.690548978065311	protein-protein	0.690548978065311
SERPINF2	PLG	0.39255151562421	protein-protein	0.39255151562421
VWF	F10	-0.152076422890762	protein-protein	0.152076422890762
C5	C3	-0.353056459570341	protein-protein	0.353056459570341
C5	KNG1	-0.149943017759297	protein-protein	0.149943017759297
B2M	HLA-B	0.298851927264241	protein-protein	0.298851927264241
AGT	C5	0.143652028600304	protein-protein	0.143652028600304
